id,coordinates/0,coordinates/1,status
LINK-001364,-73.905076,40.853028,active
LINK-001365,-73.901091,40.857756,active
LINK-001473,-73.881778,40.755835,active
LINK-001481,-73.975391,40.789424,active
LINK-001482,-73.97504101,40.78945727,active
LINK-001484,-73.974767,40.790053,active
LINK-001486,-73.974793,40.790235,active
LINK-001487,-73.974462,40.79069,active
LINK-001488,-73.97430229,40.79090129,active
LINK-001490,-73.97481,40.790818,active
LINK-001492,-73.973822,40.791401,active
LINK-001495,-73.973425,40.791943,active
LINK-001496,-73.973761,40.792255,active
LINK-001497,-73.97312473,40.79253447,active
LINK-001498,-73.97343761,40.79269555,active
LINK-001499,-73.97328857,40.79288708,active
LINK-001500,-73.97304342,40.79342581,active
LINK-001501,-73.97264858,40.79318087,active
LINK-001502,-73.97203479,40.79382166,active
LINK-001503,-73.97256708,40.79404227,active
LINK-001504,-73.97157309,40.79446154,active
LINK-001505,-73.97185626,40.79489566,active
LINK-001507,-73.971048,40.795171,active
LINK-001539,-73.9707519,40.7957738,active
LINK-001540,-73.970931,40.796138,active
LINK-001542,-73.970619,40.796566,active
LINK-001543,-73.97065155,40.79676125,active
LINK-001545,-73.97027901,40.79642525,active
LINK-001546,-73.9696072,40.79714851,active
LINK-001547,-73.96965239,40.79728379,active
LINK-001548,-73.970011,40.797394,installed
LINK-001552,-73.96924393,40.79770166,active
LINK-001553,-73.969557,40.798018,active
LINK-001554,-73.969093,40.79865,active
LINK-001555,-73.96880907,40.79904235,active
LINK-001556,-73.968326,40.798954,active
LINK-001557,-73.96823224,40.79933067,active
LINK-001558,-73.96796962,40.7996299,active
LINK-001594,-73.96783287,40.80030025,active
LINK-001595,-73.967782,40.800581,active
LINK-001596,-73.96826,40.800681,installed
LINK-001597,-73.96818631,40.80047593,active
LINK-001599,-73.967707,40.801084,active
LINK-001600,-73.967493,40.802126,active
LINK-001601,-73.967585,40.802298,active
LINK-001602,-73.968149,40.802455,active
LINK-001603,-73.967461,40.802736,active
LINK-001604,-73.967379,40.802944,active
LINK-001605,-73.967381,40.803721,active
LINK-001606,-73.96670754,40.80386123,active
LINK-001608,-73.96678806,40.80511381,installed
LINK-001609,-73.9659025,40.80495915,active
LINK-001610,-73.96566952,40.80527964,active
LINK-001612,-73.9655261,40.80547204,active
LINK-001675,-73.97414806,40.75096552,active
LINK-001676,-73.965081,40.805923,active
LINK-001677,-73.95579589,40.81881338,active
LINK-001678,-73.95526804,40.82027959,active
LINK-001680,-73.95480753,40.82076419,active
LINK-001682,-73.953676,40.822319,active
LINK-001683,-73.953007,40.822495,active
LINK-001684,-73.953041,40.823326,active
LINK-001685,-73.95258142,40.82382134,active
LINK-001688,-73.96421034,40.80804124,active
LINK-001689,-73.964488,40.807508,active
LINK-001690,-73.96464555,40.80729581,active
LINK-001691,-73.965108,40.80676,active
LINK-001695,-73.951597,40.824559,active
LINK-001696,-73.9516557,40.8250896,active
LINK-001697,-73.95148795,40.82531855,active
LINK-001699,-73.950907,40.825508,active
LINK-001702,-73.950482,40.82609,active
LINK-001703,-73.95071631,40.82637629,active
LINK-001705,-73.947868,40.825446,active
LINK-001706,-73.947604,40.825419,active
LINK-001710,-74.11216061,40.56175506,active
LINK-001712,-74.11422426,40.56585176,active
LINK-001714,-74.10965729,40.57031185,active
LINK-001715,-74.109918,40.570635,active
LINK-001716,-74.11408666,40.57285319,active
LINK-001749,-74.103479,40.576541,active
LINK-001750,-74.10231,40.577771,active
LINK-001752,-74.100732,40.590983,active
LINK-001756,-74.08620985,40.59545604,active
LINK-001757,-74.08262136,40.59839673,active
LINK-001773,-73.89873,40.867627,active
LINK-001774,-73.8995757,40.86782871,active
LINK-001777,-73.90031404,40.86231329,active
LINK-001780,-73.902369,40.86063,active
LINK-001785,-73.921747,40.831467,active
LINK-001786,-73.92390599,40.82765532,active
LINK-001787,-73.90555222,40.85304298,active
LINK-001788,-73.905403,40.853157,active
LINK-001791,-73.928165,40.818676,active
LINK-001792,-73.92837,40.818942,active
LINK-001820,-73.79220518,40.70635736,active
LINK-001821,-73.792368,40.706507,active
LINK-001824,-73.830838,40.713983,active
LINK-001827,-73.833513,40.715758,active
LINK-002056,-73.949868,40.826928,active
LINK-002057,-73.95022615,40.82704355,active
LINK-002058,-73.95002586,40.82732011,active
LINK-002059,-73.949581,40.827932,active
LINK-002061,-73.949288,40.82758,active
LINK-002062,-73.949017,40.828097,active
LINK-002064,-73.94913226,40.82854185,active
LINK-002065,-73.94886891,40.82903713,active
LINK-002066,-73.948046,40.829424,active
LINK-002067,-73.94764707,40.82934138,active
LINK-002068,-73.947866,40.829675,active
LINK-002069,-73.948201,40.829809,active
LINK-002070,-73.94791148,40.83020903,active
LINK-002072,-73.947195,40.830586,active
LINK-002073,-73.946986,40.830876,active
LINK-002074,-73.94477152,40.83391054,active
LINK-002075,-73.944329,40.834513,active
LINK-002076,-73.944176,40.834722,active
LINK-002078,-73.944011,40.835546,active
LINK-002079,-73.943873,40.835135,active
LINK-002082,-73.943186,40.836081,installed
LINK-002084,-73.942787,40.836501,active
LINK-002118,-73.942288,40.837104,active
LINK-002214,-73.963959,40.682932,active
LINK-002234,-73.97820169,40.68788961,active
LINK-002241,-73.951381,40.680556,active
LINK-002337,-73.943843,40.680015,active
LINK-002341,-73.924424,40.67896,active
LINK-002342,-73.927098,40.679232,active
LINK-002345,-73.916507,40.678654,active
LINK-002347,-73.911008,40.678354,active
LINK-002348,-73.908374,40.678079,active
LINK-002351,-73.869636,40.684317,active
LINK-002455,-73.958717,40.6688,active
LINK-002456,-73.95826142,40.66965209,active
LINK-002457,-73.95817186,40.67031776,active
LINK-002525,-73.98371008,40.6886723,active
LINK-002526,-73.98247226,40.68844943,active
LINK-002528,-73.98128393,40.68781362,active
LINK-002533,-73.97637079,40.68696059,active
LINK-002667,-73.989159,40.665618,active
LINK-002668,-73.987979,40.667305,active
LINK-002670,-73.97744609,40.6807318,active
LINK-002674,-73.93187521,40.74445002,active
LINK-002677,-74.00101556,40.7180331,active
LINK-002678,-74.000962,40.717828,active
LINK-002679,-74.00151938,40.71748211,active
LINK-002680,-74.00173929,40.71724104,active
LINK-002681,-74.002253,40.716682,active
